age,gender,db_id,id,word,judgment
4,boy,10124,54,artichoke,3
4,boy,10124,54,ball,6
4,boy,10124,54,car,1
4,boy,10124,54,infAge,2
4,boy,10124,54,stairs,6
4,boy,10195,11,artichoke,1
4,boy,10195,11,ball,5
4,boy,10195,11,car,1
4,boy,10195,11,infAge,3
4,boy,10195,11,stairs,4
4,boy,8857,26,artichoke,2
4,boy,8857,26,ball,1
4,boy,8857,26,car,1
4,boy,8857,26,infAge,2
4,boy,8857,26,stairs,2
4,boy,9282,37,artichoke,3
4,boy,9282,37,ball,1
4,boy,9282,37,car,1
4,boy,9282,37,infAge,3
4,boy,9282,37,stairs,6
4,girl,10084,38,artichoke,5
4,girl,10084,38,ball,3
4,girl,10084,38,car,1
4,girl,10084,38,stairs,4
4,girl,10109,43,artichoke,6
4,girl,10109,43,ball,4
4,girl,10109,43,car,6
4,girl,10109,43,stairs,6
4,girl,10516,48,artichoke,1
4,girl,10516,48,ball,1
4,girl,10516,48,car,3
4,girl,10516,48,stairs,3
4,girl,11052,6,artichoke,1
4,girl,11052,6,ball,6
4,girl,11052,6,car,5
4,girl,11052,6,infAge,21
4,girl,11052,6,stairs,6
4,girl,8966,16,artichoke,5
4,girl,8966,16,ball,1
4,girl,8966,16,car,1
4,girl,8966,16,infAge,4
4,girl,8966,16,stairs,6
4,girl,9299,55,artichoke,3
4,girl,9299,55,ball,6
4,girl,9299,55,car,1
4,girl,9299,55,infAge,3
4,girl,9299,55,stairs,3
4,girl,9477,23,artichoke,5
4,girl,9477,23,ball,3
4,girl,9477,23,car,1
4,girl,9477,23,infAge,3
4,girl,9477,23,stairs,2
4,girl,RP-0238,50,artichoke,3
4,girl,RP-0238,50,ball,3
4,girl,RP-0238,50,car,1
4,girl,RP-0238,50,infAge,2
4,girl,RP-0238,50,stairs,3
5,boy,7391,35,artichoke,5
5,boy,7391,35,ball,5
5,boy,7391,35,car,1
5,boy,7391,35,infAge,2
5,boy,7391,35,stairs,5
5,boy,7474,33,artichoke,2
5,boy,7474,33,ball,1
5,boy,7474,33,car,3
5,boy,7474,33,infAge,10
5,boy,7474,33,stairs,3
5,boy,7533,28,artichoke,2
5,boy,7533,28,ball,5
5,boy,7533,28,car,1
5,boy,7533,28,infAge,3
5,boy,7533,28,stairs,2
5,boy,9520,18,artichoke,6
5,boy,9520,18,ball,5
5,boy,9520,18,car,3
5,boy,9520,18,infAge,2
5,boy,9520,18,stairs,5
5,boy,9712,57,artichoke,3
5,boy,9712,57,ball,5
5,boy,9712,57,car,1
5,boy,9712,57,infAge,3
5,boy,9712,57,stairs,1
5,girl,10108,44,artichoke,1
5,girl,10108,44,ball,6
5,girl,10108,44,car,1
5,girl,10108,44,infAge,5
5,girl,10108,44,stairs,1
5,girl,10588,56,artichoke,1
